,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
1035,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10
3645,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
1564,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
2806,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,9
3717,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
3955,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
3097,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11
1740,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
2753,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8
920,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
212,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
902,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
3221,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9
1544,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,6
3695,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,10
3838,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8
3932,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
3523,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4
1947,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
1274,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
1211,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
1327,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11
2543,0.7,0.525,0.19,1.6015,0.707,0.365,0.43,10
1328,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
2146,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
2167,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
448,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12
3708,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9
990,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
3674,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,12
38,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
1501,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9
3924,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20
4102,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
3925,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
931,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
2832,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,9
1403,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
3809,0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8
1084,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
1939,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11
2102,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
1725,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9
2238,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
10,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
2677,0.615,0.475,0.17,1.055,0.543,0.246,0.2345,9
195,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
3865,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
3979,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
2889,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
3327,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
743,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
43,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
2659,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
1916,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
991,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
2413,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12
2289,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10
1087,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
896,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
2929,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915,11
2791,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,10
1643,0.58,0.435,0.15,0.834,0.428,0.1515,0.23,8
3998,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
2775,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
2296,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
2802,0.65,0.52,0.155,1.368,0.6185,0.288,0.365,9
2527,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
3772,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9
2484,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14
2109,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13
704,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
3906,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
2247,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9
516,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9
2353,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17
1512,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9
298,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
1887,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9
658,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
82,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16
3960,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
2443,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
2931,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
2879,0.47,0.385,0.13,0.587,0.264,0.117,0.174,8
1353,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
678,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
973,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
1938,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
3239,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
2597,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
787,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
558,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
2720,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7
3515,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12
2763,0.55,0.425,0.135,0.656,0.257,0.17,0.203,10
4040,0.575,0.45,0.12,0.9585,0.447,0.169,0.275,12
3910,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
121,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
3530,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
1738,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,11
824,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
3656,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,11
3136,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11
3486,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8
1373,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
1170,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
2298,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7
1800,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,9
1040,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
1105,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
833,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
2108,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27
673,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
649,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
213,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
3561,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9
1088,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6
3580,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10
397,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
2690,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,9
2896,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8
3045,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10
1224,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6
2519,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7
3899,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
725,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
3054,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
2397,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
4037,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10
3101,0.595,0.455,0.145,0.942,0.43,0.182,0.277,11
2805,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11
3505,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
679,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8
2386,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14
1460,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
68,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
2999,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11
1507,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10
3947,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,16
3436,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
908,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
1316,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
4026,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
3564,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9
862,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
1697,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
4012,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
2823,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7
1642,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
3341,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
1904,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,9
3831,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10
587,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
3526,0.335,0.26,0.085,0.192,0.097,0.03,0.054,6
633,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9
3689,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
1030,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
374,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13
957,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
240,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
2578,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,9
3859,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
3727,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
2454,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5
2626,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
1171,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8
1329,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8
1474,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
3722,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9
2888,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8
2343,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6
3129,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,10
3259,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18
4076,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
2903,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
2214,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
2138,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16
1208,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
345,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
2074,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
1388,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
1008,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
280,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
415,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,15
4095,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11
3359,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
2086,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
2121,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
56,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
2200,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13
793,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
2636,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
3013,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8
719,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
1663,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
3845,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
180,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
3361,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
1162,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9
3673,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
307,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
3469,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
3814,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
1004,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
2670,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
1163,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
3112,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
1264,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
584,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
1393,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
3093,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11
1798,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11
3080,0.71,0.56,0.175,1.724,0.566,0.4575,0.4625,13
3818,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,9
624,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
3079,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
2449,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9
3773,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9
3352,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
1016,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8
1139,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9
4120,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7
2290,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
889,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
337,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16
3420,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
2750,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8
1122,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9
70,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
1442,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
4131,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11
1816,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
231,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
2540,0.675,0.55,0.175,1.689,0.694,0.371,0.474,13
1747,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15
95,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
3933,0.235,0.18,0.06,0.058,0.022,0.0145,0.018,6
430,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
1960,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10
789,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
730,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11
2779,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
879,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
709,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7
3830,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14
1526,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,10
1978,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,12
811,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
267,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
2207,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
3149,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
378,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
3528,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6
50,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
2313,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16
3593,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
1168,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
1881,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
1846,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
1067,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
2534,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12
4030,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7
1908,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9
1212,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
3857,0.655,0.515,0.2,1.373,0.443,0.3375,0.49,16
1461,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
2915,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
3644,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
387,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
1129,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
1848,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
723,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15
1147,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
3168,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15
3599,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
2568,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
2801,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
2021,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
3449,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
3044,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9
2617,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
4138,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
2362,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18
2938,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11
304,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
708,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
102,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
3908,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9
301,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
269,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
1300,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
2142,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
2399,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
2742,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
4063,0.63,0.515,0.16,1.336,0.553,0.3205,0.35,11
3442,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
3757,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10
3501,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
1615,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,8
2971,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11
2794,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
1516,0.66,0.505,0.165,1.374,0.589,0.351,0.345,10
9,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
2073,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
2747,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,10
590,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13
3848,0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,14
858,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
615,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
1498,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
172,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
3285,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,13
6,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
1219,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
1692,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
3226,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
3687,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
1825,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,4
859,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8
2878,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
1965,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
1618,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11
2991,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8
2476,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18
2550,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
3456,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12
2057,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8
42,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
40,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
507,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
856,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
1772,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
1480,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9
3218,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14
3410,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
999,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
2322,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12
810,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
2096,0.5,0.39,0.145,0.651,0.273,0.132,0.22,11
1914,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10
3489,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
2061,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
2966,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10
3881,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10
1355,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11
777,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
3242,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15
2352,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18
1295,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9
1214,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6
2605,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,9
1352,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
3050,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12
1009,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
2414,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9
339,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
442,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
3308,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
2641,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
3539,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
363,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16
713,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
3584,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,11
804,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10
831,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6
2986,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13
3103,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11
3062,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,11
582,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
2575,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7
3378,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
3976,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
2703,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,11
1377,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
1056,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
1794,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
3761,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10
1705,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11
3077,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,10
764,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14
3262,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14
1759,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
1268,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11
1074,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
3882,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,15
1416,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12
2188,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
1592,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
19,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
1183,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8
3277,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
1255,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
3790,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
2680,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10
3208,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9
203,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
2945,0.635,0.485,0.19,1.3765,0.634,0.2885,0.406,11
2669,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
91,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
803,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7
2071,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
3008,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
3267,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10
1240,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6
